thread_id,message_count,unique_senders,first_message_time,last_message_time,thread_duration_minutes,avg_response_time,virality_direct,normalized_message_count,normalized_response_time,normalized_participants,virality_normalized,virality_direct_normalized,virality_combined,topic,category,subcategory,category_full,resolution_status
567,4,1,2024-11-19 15:48:22,2024-11-19 15:48:52,0.5,0.1666666666666666,24.0,0.1142857142857142,0.9943883277216612,0.0588235294117647,38.92,100.0,69.46,"""Discussing a photography studio""",Uncategorized,Other Topics,Uncategorized - Other Topics,Not a Question
717,2,1,2024-12-14 12:22:48,2024-12-14 12:22:53,0.0833333333333333,0.0833333333333333,24.0,0.0571428571428571,0.9971941638608304,0.0588235294117647,37.11,100.0,68.55,"""Woddle Smart Changing Pad""",Activities & Recreation,Arts & Music,Activities & Recreation - Arts & Music,Unresolved
671,35,8,2024-12-08 20:15:05,2024-12-08 21:11:50,56.75,1.6691176470588236,20.97,1.0,0.943800752624282,0.4705882352941176,80.48,87.37151248164464,83.93,"""Managing Child Eczema Advice""",Parenting Challenges & Support,Parenting Support & Advice,Parenting Challenges & Support - Parenting Support & Advice,Resolved
681,3,1,2024-12-10 06:19:30,2024-12-10 06:19:48,0.3,0.15,20.0,0.0857142857142857,0.9949494949494948,0.0588235294117647,37.98,83.33333333333334,60.66,"""Kids Friendly Weekend Events""",Activities & Recreation,Social Events & Playdates,Activities & Recreation - Social Events & Playdates,Likely Unresolved
23,5,3,2024-08-23 15:09:28,2024-08-23 15:10:41,1.2166666666666666,0.3041666666666666,16.44,0.1428571428571428,0.9897586980920314,0.1764705882352941,43.64,68.49315068493152,56.06,"""Removing Wrinkles from Dress""",Products & Shopping,Clothing & Accessories,Products & Shopping - Clothing & Accessories,Ambiguous
654,19,9,2024-12-04 11:36:49,2024-12-04 11:58:58,22.15,1.2305555555555554,15.44,0.5428571428571428,0.9585671530115976,0.5294117647058824,67.69,64.33408577878104,66.01,"""Transitioning from Breastmilk to Formula""",Child Care & Education,Child Development & Milestones,Child Care & Education - Child Development & Milestones,Resolved
90,26,9,2024-09-06 15:43:43,2024-09-06 16:29:01,45.3,1.812,14.35,0.7428571428571429,0.938989898989899,0.5294117647058824,73.71,59.786607799852845,66.75,"""No gifts"" birthday party etiquette",Activities & Recreation,Arts & Music,Activities & Recreation - Arts & Music,Resolved
41,3,1,2024-08-27 20:39:52,2024-08-27 20:40:18,0.4333333333333333,0.2166666666666666,13.85,0.0857142857142857,0.9927048260381592,0.0588235294117647,37.91,57.692307692307686,47.8,"""Finding a new home for pets""",Uncategorized,Other Topics,Uncategorized - Other Topics,Not a Question
394,3,1,2024-10-25 07:50:54,2024-10-25 07:51:22,0.4666666666666667,0.2333333333333333,12.86,0.0857142857142857,0.9921436588103256,0.0588235294117647,37.89,53.57142857142857,45.73,"""Traffic and Ferry Transportation Discussion""",Activities & Recreation,Sports & Physical Activities,Activities & Recreation - Sports & Physical Activities,Ambiguous
1009,2,1,2025-02-06 16:19:33,2025-02-06 16:19:43,0.1666666666666666,0.1666666666666666,12.0,0.0571428571428571,0.9943883277216612,0.0588235294117647,37.01,50.0,43.51,"""February break activities recommendations""",Parenting Challenges & Support,Parenting Support & Advice,Parenting Challenges & Support - Parenting Support & Advice,Likely Unresolved
303,3,1,2024-10-11 17:34:54,2024-10-11 17:35:24,0.5,0.25,12.0,0.0857142857142857,0.9915824915824916,0.0588235294117647,37.87,50.0,43.94,"""Canal Street Vintage Market""",Uncategorized,Other Topics,Uncategorized - Other Topics,Ambiguous
547,2,1,2024-11-17 10:46:28,2024-11-17 10:46:38,0.1666666666666666,0.1666666666666666,12.0,0.0571428571428571,0.9943883277216612,0.0588235294117647,37.01,50.0,43.51,Instagram Video Discussion,Uncategorized,Other Topics,Uncategorized - Other Topics,Likely Unresolved
230,2,1,2024-09-29 20:53:55,2024-09-29 20:54:07,0.2,0.2,10.0,0.0571428571428571,0.9932659932659932,0.0588235294117647,36.97,41.66666666666667,39.32,"""Favorite Seafood Restaurants in Provincetown""",Nutrition & Feeding,Family Meals & Recipes,Nutrition & Feeding - Family Meals & Recipes,Likely Unresolved
107,5,4,2024-09-09 16:20:12,2024-09-09 16:22:14,2.033333333333333,0.5083333333333333,9.84,0.1428571428571428,0.9828843995510662,0.2352941176470588,45.37,40.98360655737705,43.18,"""Maternity Shoot Photographer Recommendations""",Marketplace & Exchange,Services & Providers,Marketplace & Exchange - Services & Providers,Resolved
410,16,11,2024-10-27 09:14:55,2024-10-27 09:42:20,27.416666666666668,1.827777777777778,8.75,0.4571428571428571,0.9384586606808828,0.6470588235294118,68.09,36.47416413373861,52.28,"""Recommendations for Animal Farms""",Parenting Challenges & Support,Parenting Support & Advice,Parenting Challenges & Support - Parenting Support & Advice,Resolved
1032,2,2,2025-02-11 16:21:16,2025-02-11 16:21:30,0.2333333333333333,0.2333333333333333,8.57,0.0571428571428571,0.9921436588103256,0.1176470588235294,38.9,35.714285714285715,37.31,"""Finding a PCP for adults""",Uncategorized,Other Topics,Uncategorized - Other Topics,Resolved
972,3,2,2025-01-28 08:36:11,2025-01-28 08:36:53,0.7,0.35,8.57,0.0857142857142857,0.9882154882154882,0.1176470588235294,39.72,35.714285714285715,37.72,"""Residential Tax Abatement Follow-up""",Uncategorized,Other Topics,Uncategorized - Other Topics,Resolved
921,2,1,2025-01-17 17:34:58,2025-01-17 17:35:12,0.2333333333333333,0.2333333333333333,8.57,0.0571428571428571,0.9921436588103256,0.0588235294117647,36.94,35.714285714285715,36.33,"""Crib Rental Experiences""",Products & Shopping,Baby Gear & Equipment,Products & Shopping - Baby Gear & Equipment,Not a Question
679,8,2,2024-12-09 22:38:29,2024-12-09 22:45:44,7.25,1.0357142857142858,7.72,0.2285714285714285,0.9651274651274652,0.1176470588235294,43.71,32.18390804597701,37.95,"""Shopping for Children's Toys""",Products & Shopping,"Toys, Books & Entertainment","Products & Shopping - Toys, Books & Entertainment",Resolved
1104,20,8,2025-02-28 17:24:39,2025-02-28 18:13:54,49.25,2.5921052631578947,7.72,0.5714285714285714,0.9127237285132022,0.4705882352941176,65.16,32.14890016920474,48.65,"""Enrollment in Eliot School""",Child Care & Education,Schools & Education,Child Care & Education - Schools & Education,Resolved
642,3,1,2024-12-03 09:28:34,2024-12-03 09:29:22,0.8,0.4,7.5,0.0857142857142857,0.9865319865319864,0.0588235294117647,37.7,31.25,34.48,Offering and Accepting Help,Parenting Challenges & Support,Parenting Support & Advice,Parenting Challenges & Support - Parenting Support & Advice,Not a Question
924,6,4,2025-01-17 21:17:35,2025-01-17 21:21:46,4.183333333333334,0.8366666666666667,7.17,0.1714285714285714,0.9718294051627384,0.2352941176470588,45.95,29.880478087649404,37.92,"""Criminal Divorce Attorney Recommendations""",Parenting Challenges & Support,Parenting Support & Advice,Parenting Challenges & Support - Parenting Support & Advice,Resolved
570,26,15,2024-11-20 12:26:04,2024-11-20 13:57:50,91.76666666666668,3.6706666666666665,7.08,0.7428571428571429,0.8764085297418631,0.8823529411764706,83.39,29.513258263712316,56.45,"""Urgent care recommendations for children""",Health & Wellness,Medical Care & Providers,Health & Wellness - Medical Care & Providers,Resolved
284,2,1,2024-10-08 12:56:23,2024-10-08 12:56:40,0.2833333333333333,0.2833333333333333,7.06,0.0571428571428571,0.9904601571268238,0.0588235294117647,36.88,29.411764705882355,33.15,"""Travel-friendly baby stroller recommendations""",Products & Shopping,Baby Gear & Equipment,Products & Shopping - Baby Gear & Equipment,Not a Question
1054,15,3,2025-02-17 11:17:42,2025-02-17 11:47:58,30.266666666666666,2.1619047619047618,6.94,0.4285714285714285,0.9272085938752606,0.1764705882352941,51.08,28.90969162995595,39.99,"""Potty Training and Daycare Experiences""",Child Care & Education,Daycare & Preschools,Child Care & Education - Daycare & Preschools,Unresolved
191,2,1,2024-09-23 18:45:21,2024-09-23 18:45:39,0.3,0.3,6.67,0.0571428571428571,0.98989898989899,0.0588235294117647,36.86,27.77777777777778,32.32,"""Red Fox Restaurant Crowdedness Inquiry""",Nutrition & Feeding,Restaurants & Dining Out,Nutrition & Feeding - Restaurants & Dining Out,Likely Unresolved
7,2,1,2024-08-20 18:37:58,2024-08-20 18:38:17,0.3166666666666666,0.3166666666666666,6.32,0.0571428571428571,0.989337822671156,0.0588235294117647,36.84,26.31578947368421,31.58,"""Identifying Safe Food Ingredients""",Nutrition & Feeding,Family Meals & Recipes,Nutrition & Feeding - Family Meals & Recipes,Not a Question
